Date;Hour  (GMT);Benceno (µg/m3);CO (mg/m3);NOX (µg/m3);NO2;NO2 - ICA;PM10;PM10 - ICA;PM2,5;PM2,5 - ICA;SO2;SO2 - ICA;O3 (µg/m3);OZONO;O3 - ICA;ICA Estación
04/02/2025;01:00;0,02;0,24;34;29;Muy bueno / Oso ona;12,27;Muy bueno / Oso ona;5,14;Muy bueno / Oso ona;3;Muy bueno / Oso ona;;;Sin datos / Daturik gabe;Muy bueno / Oso ona
03/02/2025;24:00;0,13;0,24;28;25;Muy bueno / Oso ona;11,18;Muy bueno / Oso ona;4,77;Muy bueno / Oso ona;2;Muy bueno / Oso ona;11;11;Muy bueno / Oso ona;Muy bueno / Oso ona
03/02/2025;23:00;0,23;0,24;46;29;Muy bueno / Oso ona;10,82;Muy bueno / Oso ona;4,59;Muy bueno / Oso ona;2;Muy bueno / Oso ona;6;6;Muy bueno / Oso ona;Muy bueno / Oso ona
03/02/2025;22:00;0,06;0,33;78;41;Bueno / Ona;10,18;Muy bueno / Oso ona;4,41;Muy bueno / Oso ona;2;Muy bueno / Oso ona;2;2;Muy bueno / Oso ona;Bueno / Ona
03/02/2025;21:00;0,17;0,31;58;42;Bueno / Ona;9,68;Muy bueno / Oso ona;4,18;Muy bueno / Oso ona;2;Muy bueno / Oso ona;2;2;Muy bueno / Oso ona;Bueno / Ona
03/02/2025;20:00;0,25;0,23;56;45;Bueno / Ona;9,27;Muy bueno / Oso ona;4,05;Muy bueno / Oso ona;3;Muy bueno / Oso ona;4;4;Muy bueno / Oso ona;Bueno / Ona
03/02/2025;19:00;0,29;0,16;46;42;Bueno / Ona;8,82;Muy bueno / Oso ona;3,91;Muy bueno / Oso ona;3;Muy bueno / Oso ona;16;16;Muy bueno / Oso ona;Bueno / Ona
03/02/2025;18:00;0,87;0,15;68;61;Bueno / Ona;8,36;Muy bueno / Oso ona;3,82;Muy bueno / Oso ona;5;Muy bueno / Oso ona;17;17;Muy bueno / Oso ona;Bueno / Ona
03/02/2025;17:00;0,09;0,06;33;28;Muy bueno / Oso ona;7,55;Muy bueno / Oso ona;3,59;Muy bueno / Oso ona;6;Muy bueno / Oso ona;61;61;Muy bueno / Oso ona;Muy bueno / Oso ona
03/02/2025;16:00;0,15;0,04;20;18;Muy bueno / Oso ona;7,05;Muy bueno / Oso ona;3,55;Muy bueno / Oso ona;8;Muy bueno / Oso ona;72;72;Muy bueno / Oso ona;Muy bueno / Oso ona
03/02/2025;15:00;0,37;0,08;36;28;Muy bueno / Oso ona;6,95;Muy bueno / Oso ona;3,55;Muy bueno / Oso ona;12;Muy bueno / Oso ona;57;57;Muy bueno / Oso ona;Muy bueno / Oso ona
03/02/2025;14:00;0,17;0,21;21;16;Muy bueno / Oso ona;6,55;Muy bueno / Oso ona;3,41;Muy bueno / Oso ona;5;Muy bueno / Oso ona;63;63;Muy bueno / Oso ona;Muy bueno / Oso ona
03/02/2025;13:00;0,14;0,25;24;17;Muy bueno / Oso ona;6,5;Muy bueno / Oso ona;3,36;Muy bueno / Oso ona;3;Muy bueno / Oso ona;58;58;Muy bueno / Oso ona;Muy bueno / Oso ona
03/02/2025;12:00;0,21;0,31;28;21;Muy bueno / Oso ona;6,41;Muy bueno / Oso ona;3,32;Muy bueno / Oso ona;2;Muy bueno / Oso ona;52;52;Muy bueno / Oso ona;Muy bueno / Oso ona
03/02/2025;11:00;;0,41;;;Sin datos / Daturik gabe;6,27;Muy bueno / Oso ona;3,32;Muy bueno / Oso ona;;Sin datos / Daturik gabe;;;Sin datos / Daturik gabe;Muy bueno / Oso ona
03/02/2025;10:00;;;;;Sin datos / Daturik gabe;6,26;Muy bueno / Oso ona;3,35;Muy bueno / Oso ona;;Sin datos / Daturik gabe;;;Sin datos / Daturik gabe;Muy bueno / Oso ona
03/02/2025;09:00;0,3;0,3;65;44;Bueno / Ona;6,33;Muy bueno / Oso ona;3,46;Muy bueno / Oso ona;3;Muy bueno / Oso ona;17;17;Muy bueno / Oso ona;Bueno / Ona
03/02/2025;08:00;0,36;0,31;69;50;Bueno / Ona;6,33;Muy bueno / Oso ona;3,63;Muy bueno / Oso ona;3;Muy bueno / Oso ona;10;10;Muy bueno / Oso ona;Bueno / Ona
03/02/2025;07:00;0,3;0,31;54;44;Bueno / Ona;6,42;Muy bueno / Oso ona;3,83;Muy bueno / Oso ona;3;Muy bueno / Oso ona;13;13;Muy bueno / Oso ona;Bueno / Ona
03/02/2025;06:00;0,2;0,25;33;29;Muy bueno / Oso ona;6,46;Muy bueno / Oso ona;4;Muy bueno / Oso ona;2;Muy bueno / Oso ona;26;26;Muy bueno / Oso ona;Muy bueno / Oso ona
03/02/2025;05:00;0,15;0,25;24;24;Muy bueno / Oso ona;6,63;Muy bueno / Oso ona;4,21;Muy bueno / Oso ona;2;Muy bueno / Oso ona;33;33;Muy bueno / Oso ona;Muy bueno / Oso ona
03/02/2025;04:00;0,13;0,21;16;16;Muy bueno / Oso ona;6,79;Muy bueno / Oso ona;4,38;Muy bueno / Oso ona;2;Muy bueno / Oso ona;44;44;Muy bueno / Oso ona;Muy bueno / Oso ona
03/02/2025;03:00;0,13;0,2;12;12;Muy bueno / Oso ona;7,17;Muy bueno / Oso ona;4,67;Muy bueno / Oso ona;2;Muy bueno / Oso ona;50;50;Muy bueno / Oso ona;Muy bueno / Oso ona
03/02/2025;02:00;0,12;0,21;10;10;Muy bueno / Oso ona;7,58;Muy bueno / Oso ona;4,96;Muy bueno / Oso ona;2;Muy bueno / Oso ona;54;54;Muy bueno / Oso ona;Muy bueno / Oso ona
03/02/2025;01:00;0,17;0,21;10;10;Muy bueno / Oso ona;7,88;Muy bueno / Oso ona;5,17;Muy bueno / Oso ona;2;Muy bueno / Oso ona;;;Sin datos / Daturik gabe;Muy bueno / Oso ona
02/02/2025;24:00;0,14;0,22;16;16;Muy bueno / Oso ona;8,17;Muy bueno / Oso ona;5,33;Muy bueno / Oso ona;2;Muy bueno / Oso ona;50;50;Muy bueno / Oso ona;Muy bueno / Oso ona
02/02/2025;23:00;0,19;0,24;11;11;Muy bueno / Oso ona;8,38;Muy bueno / Oso ona;5,46;Muy bueno / Oso ona;1;Muy bueno / Oso ona;57;57;Muy bueno / Oso ona;Muy bueno / Oso ona
02/02/2025;22:00;0,17;0,24;39;33;Muy bueno / Oso ona;8,54;Muy bueno / Oso ona;5,54;Muy bueno / Oso ona;2;Muy bueno / Oso ona;34;34;Muy bueno / Oso ona;Muy bueno / Oso ona
02/02/2025;21:00;0,3;0,24;35;31;Muy bueno / Oso ona;8,63;Muy bueno / Oso ona;5,58;Muy bueno / Oso ona;2;Muy bueno / Oso ona;44;44;Muy bueno / Oso ona;Muy bueno / Oso ona
02/02/2025;20:00;0,41;0,23;24;24;Muy bueno / Oso ona;8,79;Muy bueno / Oso ona;5,63;Muy bueno / Oso ona;3;Muy bueno / Oso ona;57;57;Muy bueno / Oso ona;Muy bueno / Oso ona
02/02/2025;19:00;0,33;0,21;20;19;Muy bueno / Oso ona;8,96;Muy bueno / Oso ona;5,67;Muy bueno / Oso ona;3;Muy bueno / Oso ona;67;67;Muy bueno / Oso ona;Muy bueno / Oso ona
02/02/2025;18:00;0,32;0,19;10;10;Muy bueno / Oso ona;9,21;Muy bueno / Oso ona;5,71;Muy bueno / Oso ona;5;Muy bueno / Oso ona;84;84;Bueno / Ona;Bueno / Ona
02/02/2025;17:00;0,28;0,18;11;11;Muy bueno / Oso ona;9,5;Muy bueno / Oso ona;5,79;Muy bueno / Oso ona;5;Muy bueno / Oso ona;84;84;Bueno / Ona;Bueno / Ona
02/02/2025;16:00;0,4;0,17;9;9;Muy bueno / Oso ona;9,58;Muy bueno / Oso ona;5,79;Muy bueno / Oso ona;4;Muy bueno / Oso ona;85;85;Bueno / Ona;Bueno / Ona
02/02/2025;15:00;0,22;0,17;14;13;Muy bueno / Oso ona;9,67;Muy bueno / Oso ona;5,83;Muy bueno / Oso ona;5;Muy bueno / Oso ona;79;79;Muy bueno / Oso ona;Muy bueno / Oso ona
02/02/2025;14:00;0,15;0,17;16;14;Muy bueno / Oso ona;9,88;Muy bueno / Oso ona;5,88;Muy bueno / Oso ona;3;Muy bueno / Oso ona;52;52;Muy bueno / Oso ona;Muy bueno / Oso ona
02/02/2025;13:00;0,11;0,17;10;9;Muy bueno / Oso ona;10,08;Muy bueno / Oso ona;5,96;Muy bueno / Oso ona;2;Muy bueno / Oso ona;54;54;Muy bueno / Oso ona;Muy bueno / Oso ona
02/02/2025;12:00;0,15;0,19;14;11;Muy bueno / Oso ona;10,33;Muy bueno / Oso ona;6,04;Muy bueno / Oso ona;3;Muy bueno / Oso ona;53;53;Muy bueno / Oso ona;Muy bueno / Oso ona
02/02/2025;11:00;0,16;0,21;20;14;Muy bueno / Oso ona;10,58;Muy bueno / Oso ona;6,13;Muy bueno / Oso ona;3;Muy bueno / Oso ona;44;44;Muy bueno / Oso ona;Muy bueno / Oso ona
02/02/2025;10:00;0,18;0,24;34;20;Muy bueno / Oso ona;10,79;Muy bueno / Oso ona;6,17;Muy bueno / Oso ona;4;Muy bueno / Oso ona;28;28;Muy bueno / Oso ona;Muy bueno / Oso ona
02/02/2025;09:00;0,19;0,23;29;20;Muy bueno / Oso ona;10,96;Muy bueno / Oso ona;6,13;Muy bueno / Oso ona;4;Muy bueno / Oso ona;17;17;Muy bueno / Oso ona;Muy bueno / Oso ona
02/02/2025;08:00;0,21;0,24;35;27;Muy bueno / Oso ona;10,71;Muy bueno / Oso ona;5,88;Muy bueno / Oso ona;4;Muy bueno / Oso ona;6;6;Muy bueno / Oso ona;Muy bueno / Oso ona
02/02/2025;07:00;0,23;0,25;31;26;Muy bueno / Oso ona;10,54;Muy bueno / Oso ona;5,63;Muy bueno / Oso ona;3;Muy bueno / Oso ona;7;7;Muy bueno / Oso ona;Muy bueno / Oso ona
02/02/2025;06:00;0,23;0,25;30;26;Muy bueno / Oso ona;10,46;Muy bueno / Oso ona;5,46;Muy bueno / Oso ona;2;Muy bueno / Oso ona;7;7;Muy bueno / Oso ona;Muy bueno / Oso ona
02/02/2025;05:00;0,25;0,24;27;26;Muy bueno / Oso ona;10,17;Muy bueno / Oso ona;5,21;Muy bueno / Oso ona;2;Muy bueno / Oso ona;8;8;Muy bueno / Oso ona;Muy bueno / Oso ona
02/02/2025;04:00;0,27;0,28;30;28;Muy bueno / Oso ona;10,04;Muy bueno / Oso ona;5,21;Muy bueno / Oso ona;2;Muy bueno / Oso ona;6;6;Muy bueno / Oso ona;Muy bueno / Oso ona
02/02/2025;03:00;0,28;0,28;28;27;Muy bueno / Oso ona;9,88;Muy bueno / Oso ona;5,17;Muy bueno / Oso ona;1;Muy bueno / Oso ona;7;7;Muy bueno / Oso ona;Muy bueno / Oso ona
02/02/2025;02:00;0,34;0,27;27;26;Muy bueno / Oso ona;9,71;Muy bueno / Oso ona;5,13;Muy bueno / Oso ona;1;Muy bueno / Oso ona;11;11;Muy bueno / Oso ona;Muy bueno / Oso ona
02/02/2025;01:00;0,63;0,28;31;30;Muy bueno / Oso ona;9,79;Muy bueno / Oso ona;5,25;Muy bueno / Oso ona;1;Muy bueno / Oso ona;;;Sin datos / Daturik gabe;Muy bueno / Oso ona
01/02/2025;24:00;0,4;0,26;30;29;Muy bueno / Oso ona;10,21;Muy bueno / Oso ona;5,5;Muy bueno / Oso ona;1;Muy bueno / Oso ona;13;13;Muy bueno / Oso ona;Muy bueno / Oso ona
01/02/2025;23:00;0,19;0,27;42;37;Muy bueno / Oso ona;10,58;Muy bueno / Oso ona;5,75;Muy bueno / Oso ona;1;Muy bueno / Oso ona;7;7;Muy bueno / Oso ona;Muy bueno / Oso ona
01/02/2025;22:00;0,03;0,25;42;35;Muy bueno / Oso ona;11,13;Muy bueno / Oso ona;6,08;Muy bueno / Oso ona;2;Muy bueno / Oso ona;11;11;Muy bueno / Oso ona;Muy bueno / Oso ona
01/02/2025;21:00;0,18;0,25;33;31;Muy bueno / Oso ona;11,58;Muy bueno / Oso ona;6,42;Muy bueno / Oso ona;2;Muy bueno / Oso ona;23;23;Muy bueno / Oso ona;Muy bueno / Oso ona
01/02/2025;20:00;0,18;0,23;23;23;Muy bueno / Oso ona;12,08;Muy bueno / Oso ona;6,67;Muy bueno / Oso ona;2;Muy bueno / Oso ona;40;40;Muy bueno / Oso ona;Muy bueno / Oso ona
01/02/2025;19:00;0,23;0,19;27;26;Muy bueno / Oso ona;12,71;Muy bueno / Oso ona;6,83;Muy bueno / Oso ona;3;Muy bueno / Oso ona;45;45;Muy bueno / Oso ona;Muy bueno / Oso ona
01/02/2025;18:00;0,25;0,17;19;18;Muy bueno / Oso ona;13,63;Muy bueno / Oso ona;7,04;Muy bueno / Oso ona;3;Muy bueno / Oso ona;60;60;Muy bueno / Oso ona;Muy bueno / Oso ona
01/02/2025;17:00;0,28;0,14;13;12;Muy bueno / Oso ona;14,17;Muy bueno / Oso ona;7,21;Muy bueno / Oso ona;2;Muy bueno / Oso ona;72;72;Muy bueno / Oso ona;Muy bueno / Oso ona
01/02/2025;16:00;0,25;0,14;10;10;Muy bueno / Oso ona;14,5;Muy bueno / Oso ona;7,33;Muy bueno / Oso ona;2;Muy bueno / Oso ona;75;75;Muy bueno / Oso ona;Muy bueno / Oso ona
01/02/2025;15:00;0,19;0,14;7;7;Muy bueno / Oso ona;14,79;Muy bueno / Oso ona;7,42;Muy bueno / Oso ona;1;Muy bueno / Oso ona;77;77;Muy bueno / Oso ona;Muy bueno / Oso ona
01/02/2025;14:00;0,19;0,26;10;8;Muy bueno / Oso ona;14,96;Muy bueno / Oso ona;7,54;Muy bueno / Oso ona;1;Muy bueno / Oso ona;75;75;Muy bueno / Oso ona;Muy bueno / Oso ona
01/02/2025;13:00;0,16;0,26;11;8;Muy bueno / Oso ona;15,17;Muy bueno / Oso ona;7,63;Muy bueno / Oso ona;1;Muy bueno / Oso ona;73;73;Muy bueno / Oso ona;Muy bueno / Oso ona
01/02/2025;12:00;0,16;0,29;13;9;Muy bueno / Oso ona;15,54;Muy bueno / Oso ona;7,79;Muy bueno / Oso ona;1;Muy bueno / Oso ona;71;71;Muy bueno / Oso ona;Muy bueno / Oso ona
01/02/2025;11:00;0,12;0,3;8;7;Muy bueno / Oso ona;16,08;Muy bueno / Oso ona;8,04;Muy bueno / Oso ona;1;Muy bueno / Oso ona;71;71;Muy bueno / Oso ona;Muy bueno / Oso ona
01/02/2025;10:00;0,2;0,34;10;9;Muy bueno / Oso ona;16,79;Muy bueno / Oso ona;8,46;Muy bueno / Oso ona;1;Muy bueno / Oso ona;69;69;Muy bueno / Oso ona;Muy bueno / Oso ona
01/02/2025;09:00;0,35;0,35;9;9;Muy bueno / Oso ona;17,5;Muy bueno / Oso ona;8,83;Muy bueno / Oso ona;1;Muy bueno / Oso ona;75;75;Muy bueno / Oso ona;Muy bueno / Oso ona
01/02/2025;08:00;0,25;0,33;9;9;Muy bueno / Oso ona;18,38;Muy bueno / Oso ona;9,25;Muy bueno / Oso ona;2;Muy bueno / Oso ona;77;77;Muy bueno / Oso ona;Muy bueno / Oso ona
01/02/2025;07:00;0,37;0,35;12;11;Muy bueno / Oso ona;18,92;Muy bueno / Oso ona;9,54;Muy bueno / Oso ona;2;Muy bueno / Oso ona;72;72;Muy bueno / Oso ona;Muy bueno / Oso ona
01/02/2025;06:00;0,24;0,31;13;12;Muy bueno / Oso ona;19,54;Muy bueno / Oso ona;9,71;Muy bueno / Oso ona;2;Muy bueno / Oso ona;66;66;Muy bueno / Oso ona;Muy bueno / Oso ona
01/02/2025;05:00;0,31;0,36;31;31;Muy bueno / Oso ona;;Sin datos / Daturik gabe;9,96;Muy bueno / Oso ona;3;Muy bueno / Oso ona;21;21;Muy bueno / Oso ona;Muy bueno / Oso ona
01/02/2025;04:00;0,31;0,39;33;34;Muy bueno / Oso ona;;Sin datos / Daturik gabe;9,92;Muy bueno / Oso ona;4;Muy bueno / Oso ona;19;19;Muy bueno / Oso ona;Muy bueno / Oso ona
01/02/2025;03:00;0,37;0,37;30;30;Muy bueno / Oso ona;21,17;Bueno / Ona;9,79;Muy bueno / Oso ona;5;Muy bueno / Oso ona;24;24;Muy bueno / Oso ona;Bueno / Ona
01/02/2025;02:00;0,48;0,38;39;38;Muy bueno / Oso ona;21,42;Bueno / Ona;9,67;Muy bueno / Oso ona;6;Muy bueno / Oso ona;13;13;Muy bueno / Oso ona;Bueno / Ona
01/02/2025;01:00;0,68;0,4;54;46;Bueno / Ona;21,63;Bueno / Ona;9,5;Muy bueno / Oso ona;10;Muy bueno / Oso ona;;;Sin datos / Daturik gabe;Bueno / Ona
31/01/2025;24:00;0,57;0,4;59;49;Bueno / Ona;21,54;Bueno / Ona;9,21;Muy bueno / Oso ona;11;Muy bueno / Oso ona;3;3;Muy bueno / Oso ona;Bueno / Ona
31/01/2025;23:00;0,58;0,38;58;48;Bueno / Ona;21,63;Bueno / Ona;8,96;Muy bueno / Oso ona;12;Muy bueno / Oso ona;5;5;Muy bueno / Oso ona;Bueno / Ona
31/01/2025;22:00;0,58;0,4;69;50;Bueno / Ona;21,46;Bueno / Ona;8,67;Muy bueno / Oso ona;9;Muy bueno / Oso ona;7;7;Muy bueno / Oso ona;Bueno / Ona
31/01/2025;21:00;0,3;0,39;80;57;Bueno / Ona;21,46;Bueno / Ona;8,42;Muy bueno / Oso ona;6;Muy bueno / Oso ona;5;5;Muy bueno / Oso ona;Bueno / Ona
31/01/2025;20:00;0,18;0,31;66;49;Bueno / Ona;21,29;Bueno / Ona;8,25;Muy bueno / Oso ona;2;Muy bueno / Oso ona;4;4;Muy bueno / Oso ona;Bueno / Ona
31/01/2025;19:00;0,36;0,28;57;48;Bueno / Ona;;Sin datos / Daturik gabe;8,21;Muy bueno / Oso ona;3;Muy bueno / Oso ona;9;9;Muy bueno / Oso ona;Bueno / Ona
31/01/2025;18:00;0,25;0,22;46;43;Bueno / Ona;;Sin datos / Daturik gabe;8,21;Muy bueno / Oso ona;5;Muy bueno / Oso ona;25;25;Muy bueno / Oso ona;Bueno / Ona
31/01/2025;17:00;0,23;0,14;36;31;Muy bueno / Oso ona;;Sin datos / Daturik gabe;8,25;Muy bueno / Oso ona;9;Muy bueno / Oso ona;56;56;Muy bueno / Oso ona;Muy bueno / Oso ona
31/01/2025;16:00;0,14;0,13;37;27;Muy bueno / Oso ona;;Sin datos / Daturik gabe;8,33;Muy bueno / Oso ona;8;Muy bueno / Oso ona;64;64;Muy bueno / Oso ona;Muy bueno / Oso ona
31/01/2025;15:00;0,19;0,15;18;15;Muy bueno / Oso ona;;Sin datos / Daturik gabe;8,42;Muy bueno / Oso ona;5;Muy bueno / Oso ona;77;77;Muy bueno / Oso ona;Muy bueno / Oso ona
31/01/2025;14:00;0,24;0,13;21;15;Muy bueno / Oso ona;;Sin datos / Daturik gabe;8,54;Muy bueno / Oso ona;4;Muy bueno / Oso ona;75;75;Muy bueno / Oso ona;Muy bueno / Oso ona
31/01/2025;13:00;0,16;0,17;23;17;Muy bueno / Oso ona;;Sin datos / Daturik gabe;8,67;Muy bueno / Oso ona;6;Muy bueno / Oso ona;70;70;Muy bueno / Oso ona;Muy bueno / Oso ona
31/01/2025;12:00;0,15;0,26;47;31;Muy bueno / Oso ona;;Sin datos / Daturik gabe;8,75;Muy bueno / Oso ona;7;Muy bueno / Oso ona;44;44;Muy bueno / Oso ona;Muy bueno / Oso ona
31/01/2025;11:00;0,46;0,34;88;42;Bueno / Ona;;Sin datos / Daturik gabe;8,71;Muy bueno / Oso ona;8;Muy bueno / Oso ona;20;20;Muy bueno / Oso ona;Bueno / Ona
31/01/2025;10:00;0,47;0,39;104;44;Bueno / Ona;20;Muy bueno / Oso ona;8,5;Muy bueno / Oso ona;7;Muy bueno / Oso ona;11;11;Muy bueno / Oso ona;Bueno / Ona
31/01/2025;09:00;0,75;0,38;113;47;Bueno / Ona;19,63;Muy bueno / Oso ona;8,38;Muy bueno / Oso ona;6;Muy bueno / Oso ona;6;6;Muy bueno / Oso ona;Bueno / Ona
31/01/2025;08:00;0,33;0,36;115;50;Bueno / Ona;19,33;Muy bueno / Oso ona;8,29;Muy bueno / Oso ona;5;Muy bueno / Oso ona;3;3;Muy bueno / Oso ona;Bueno / Ona
31/01/2025;07:00;0,17;0,28;78;45;Bueno / Ona;19,08;Muy bueno / Oso ona;8,21;Muy bueno / Oso ona;2;Muy bueno / Oso ona;4;4;Muy bueno / Oso ona;Bueno / Ona
31/01/2025;06:00;0,22;0,22;51;37;Muy bueno / Oso ona;18,83;Muy bueno / Oso ona;8,29;Muy bueno / Oso ona;1;Muy bueno / Oso ona;11;11;Muy bueno / Oso ona;Muy bueno / Oso ona
31/01/2025;05:00;0,05;0,19;21;20;Muy bueno / Oso ona;18,54;Muy bueno / Oso ona;8,33;Muy bueno / Oso ona;1;Muy bueno / Oso ona;29;29;Muy bueno / Oso ona;Muy bueno / Oso ona
31/01/2025;04:00;0,1;0,17;10;8;Muy bueno / Oso ona;18,25;Muy bueno / Oso ona;8,29;Muy bueno / Oso ona;1;Muy bueno / Oso ona;41;41;Muy bueno / Oso ona;Muy bueno / Oso ona
31/01/2025;03:00;0,07;0,17;8;8;Muy bueno / Oso ona;17,71;Muy bueno / Oso ona;8,25;Muy bueno / Oso ona;1;Muy bueno / Oso ona;46;46;Muy bueno / Oso ona;Muy bueno / Oso ona
31/01/2025;02:00;0,12;0,15;10;10;Muy bueno / Oso ona;17,21;Muy bueno / Oso ona;8,08;Muy bueno / Oso ona;1;Muy bueno / Oso ona;48;48;Muy bueno / Oso ona;Muy bueno / Oso ona
31/01/2025;01:00;0,17;0,14;10;10;Muy bueno / Oso ona;16,63;Muy bueno / Oso ona;7,88;Muy bueno / Oso ona;1;Muy bueno / Oso ona;;;Sin datos / Daturik gabe;Muy bueno / Oso ona
30/01/2025;24:00;0,17;0,12;11;11;Muy bueno / Oso ona;16;Muy bueno / Oso ona;7,71;Muy bueno / Oso ona;1;Muy bueno / Oso ona;77;77;Muy bueno / Oso ona;Muy bueno / Oso ona
30/01/2025;23:00;0,23;0,13;13;12;Muy bueno / Oso ona;15,38;Muy bueno / Oso ona;7,54;Muy bueno / Oso ona;1;Muy bueno / Oso ona;79;79;Muy bueno / Oso ona;Muy bueno / Oso ona
30/01/2025;22:00;0,12;0,14;9;8;Muy bueno / Oso ona;14,92;Muy bueno / Oso ona;7,42;Muy bueno / Oso ona;1;Muy bueno / Oso ona;82;82;Bueno / Ona;Bueno / Ona
30/01/2025;21:00;0,29;0,16;10;10;Muy bueno / Oso ona;14,38;Muy bueno / Oso ona;7,25;Muy bueno / Oso ona;1;Muy bueno / Oso ona;79;79;Muy bueno / Oso ona;Muy bueno / Oso ona
30/01/2025;20:00;0,26;0,18;11;11;Muy bueno / Oso ona;13,83;Muy bueno / Oso ona;7,08;Muy bueno / Oso ona;1;Muy bueno / Oso ona;78;78;Muy bueno / Oso ona;Muy bueno / Oso ona
30/01/2025;19:00;0,63;0,19;14;13;Muy bueno / Oso ona;13,29;Muy bueno / Oso ona;6,83;Muy bueno / Oso ona;2;Muy bueno / Oso ona;75;75;Muy bueno / Oso ona;Muy bueno / Oso ona
30/01/2025;18:00;0,62;0,2;12;12;Muy bueno / Oso ona;12,88;Muy bueno / Oso ona;6,67;Muy bueno / Oso ona;2;Muy bueno / Oso ona;75;75;Muy bueno / Oso ona;Muy bueno / Oso ona
30/01/2025;17:00;0,48;0,22;15;14;Muy bueno / Oso ona;12,5;Muy bueno / Oso ona;6,5;Muy bueno / Oso ona;1;Muy bueno / Oso ona;72;72;Muy bueno / Oso ona;Muy bueno / Oso ona
30/01/2025;16:00;0,54;0,22;12;11;Muy bueno / Oso ona;12,17;Muy bueno / Oso ona;6,38;Muy bueno / Oso ona;1;Muy bueno / Oso ona;73;73;Muy bueno / Oso ona;Muy bueno / Oso ona
30/01/2025;15:00;0,89;0,25;14;13;Muy bueno / Oso ona;11,92;Muy bueno / Oso ona;6,29;Muy bueno / Oso ona;1;Muy bueno / Oso ona;67;67;Muy bueno / Oso ona;Muy bueno / Oso ona
30/01/2025;14:00;0,66;0,25;13;12;Muy bueno / Oso ona;11,63;Muy bueno / Oso ona;6,17;Muy bueno / Oso ona;1;Muy bueno / Oso ona;66;66;Muy bueno / Oso ona;Muy bueno / Oso ona
30/01/2025;13:00;0,67;0,26;11;10;Muy bueno / Oso ona;11,17;Muy bueno / Oso ona;5,92;Muy bueno / Oso ona;1;Muy bueno / Oso ona;66;66;Muy bueno / Oso ona;Muy bueno / Oso ona
30/01/2025;12:00;0,5;0,26;12;10;Muy bueno / Oso ona;10,58;Muy bueno / Oso ona;5,54;Muy bueno / Oso ona;1;Muy bueno / Oso ona;69;69;Muy bueno / Oso ona;Muy bueno / Oso ona
30/01/2025;11:00;0,77;0,25;10;9;Muy bueno / Oso ona;10,08;Muy bueno / Oso ona;5,21;Muy bueno / Oso ona;1;Muy bueno / Oso ona;69;69;Muy bueno / Oso ona;Muy bueno / Oso ona
30/01/2025;10:00;0,8;0,24;11;10;Muy bueno / Oso ona;9,54;Muy bueno / Oso ona;4,88;Muy bueno / Oso ona;1;Muy bueno / Oso ona;67;67;Muy bueno / Oso ona;Muy bueno / Oso ona
30/01/2025;09:00;0,81;0,25;11;10;Muy bueno / Oso ona;8,96;Muy bueno / Oso ona;4,5;Muy bueno / Oso ona;1;Muy bueno / Oso ona;67;67;Muy bueno / Oso ona;Muy bueno / Oso ona
30/01/2025;08:00;0,76;0,25;11;9;Muy bueno / Oso ona;8,71;Muy bueno / Oso ona;4,17;Muy bueno / Oso ona;1;Muy bueno / Oso ona;69;69;Muy bueno / Oso ona;Muy bueno / Oso ona
30/01/2025;07:00;0,37;0,24;11;9;Muy bueno / Oso ona;8,42;Muy bueno / Oso ona;3,88;Muy bueno / Oso ona;1;Muy bueno / Oso ona;72;72;Muy bueno / Oso ona;Muy bueno / Oso ona
30/01/2025;06:00;0,25;0,22;11;9;Muy bueno / Oso ona;8;Muy bueno / Oso ona;3,63;Muy bueno / Oso ona;2;Muy bueno / Oso ona;76;76;Muy bueno / Oso ona;Muy bueno / Oso ona
30/01/2025;05:00;0,21;0,2;6;6;Muy bueno / Oso ona;7,63;Muy bueno / Oso ona;3,38;Muy bueno / Oso ona;2;Muy bueno / Oso ona;81;81;Bueno / Ona;Bueno / Ona
30/01/2025;04:00;0,19;0,18;4;4;Muy bueno / Oso ona;7,5;Muy bueno / Oso ona;3,29;Muy bueno / Oso ona;2;Muy bueno / Oso ona;84;84;Bueno / Ona;Bueno / Ona
30/01/2025;03:00;0,09;0,18;2;2;Muy bueno / Oso ona;7,42;Muy bueno / Oso ona;3,21;Muy bueno / Oso ona;1;Muy bueno / Oso ona;80;80;Muy bueno / Oso ona;Muy bueno / Oso ona
30/01/2025;02:00;0,09;0,14;2;2;Muy bueno / Oso ona;7,42;Muy bueno / Oso ona;3,25;Muy bueno / Oso ona;1;Muy bueno / Oso ona;78;78;Muy bueno / Oso ona;Muy bueno / Oso ona
30/01/2025;01:00;0,07;0,08;2;2;Muy bueno / Oso ona;7,38;Muy bueno / Oso ona;3,25;Muy bueno / Oso ona;1;Muy bueno / Oso ona;;;Sin datos / Daturik gabe;Muy bueno / Oso ona
29/01/2025;24:00;0,09;0,07;2;2;Muy bueno / Oso ona;7,29;Muy bueno / Oso ona;3,21;Muy bueno / Oso ona;1;Muy bueno / Oso ona;81;81;Bueno / Ona;Bueno / Ona
29/01/2025;23:00;0,09;0,08;2;2;Muy bueno / Oso ona;7,54;Muy bueno / Oso ona;3,29;Muy bueno / Oso ona;1;Muy bueno / Oso ona;80;80;Muy bueno / Oso ona;Muy bueno / Oso ona
